,area_type,location,size,total_sqft,bath,price,bhk,price_per_sqft
5440,Built-up  Area,Kudlu Gate,3 BHK,1919.0,3.0,121.0,3,6305.367378843148
5441,Super built-up  Area,Kudlu Gate,2 BHK,1464.0,3.0,56.0,2,3825.136612021858
5442,Super built-up  Area,Kudlu Gate,3 BHK,1535.0,3.0,85.0,3,5537.459283387622
5443,Super built-up  Area,Kudlu Gate,3 BHK,1850.0,3.0,120.0,3,6486.486486486487
5444,Super built-up  Area,Kudlu Gate,2 BHK,940.0,2.0,69.57,2,7401.063829787233
5445,Super built-up  Area,Kudlu Gate,2 BHK,1215.0,2.0,44.96,2,3700.411522633745
5446,Built-up  Area,Kudlu Gate,2 BHK,1164.0,2.0,75.0,2,6443.298969072165
5447,Built-up  Area,Kudlu Gate,4 Bedroom,3850.0,6.0,205.0,4,5324.675324675325
5448,Super built-up  Area,Kudlu Gate,2 BHK,1183.0,2.0,79.54,2,6723.584108199494
5449,Super built-up  Area,Kudlu Gate,3 BHK,1850.0,3.0,110.0,3,5945.945945945946
5451,Super built-up  Area,Kudlu Gate,2 BHK,1183.0,2.0,79.54,2,6723.584108199494
5452,Super built-up  Area,Kudlu Gate,2 BHK,1200.0,2.0,44.4,2,3700.0
5454,Built-up  Area,Kudlu Gate,2 BHK,1310.0,2.0,53.0,2,4045.8015267175574
5455,Built-up  Area,Kullappa Colony,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
5456,Carpet  Area,Kumara Park,3 BHK,2200.0,4.0,350.0,3,15909.09090909091
5457,Super built-up  Area,Kumara Park,3 BHK,2000.0,3.0,207.0,3,10350.0
5458,Built-up  Area,Kumara Park,2 BHK,1150.0,2.0,250.0,2,21739.130434782608
5459,Plot  Area,Kumara Park,4 Bedroom,3500.0,5.0,800.0,4,22857.14285714286
5460,Super built-up  Area,Kumarapalli,2 BHK,1240.0,2.0,52.6,2,4241.935483870968
5461,Built-up  Area,Kumarapalli,3 BHK,1488.0,2.0,65.0,3,4368.279569892473
5462,Super built-up  Area,Kumarapalli,3 BHK,1486.0,2.0,65.0,3,4374.158815612383
5463,Plot  Area,Kumaraswami Layout,4 Bedroom,2000.0,4.0,139.0,4,6950.0
5464,Super built-up  Area,Kumaraswami Layout,2 BHK,1000.0,2.0,48.5,2,4850.0
5465,Super built-up  Area,Kumaraswami Layout,2 BHK,1000.0,2.0,58.0,2,5800.0
5466,Built-up  Area,Kumaraswami Layout,7 Bedroom,2400.0,7.0,125.0,7,5208.333333333333
5467,Built-up  Area,Kumaraswami Layout,3 Bedroom,2400.0,2.0,125.0,3,5208.333333333333
5468,Built-up  Area,Kumaraswami Layout,3 BHK,1310.0,2.0,70.0,3,5343.511450381679
5469,Built-up  Area,Kumaraswami Layout,1 Bedroom,850.0,1.0,78.0,1,9176.470588235294
5470,Built-up  Area,Kumaraswami Layout,7 Bedroom,3200.0,7.0,150.0,7,4687.5
5471,Built-up  Area,Kumaraswami Layout,3 BHK,1310.0,2.0,85.0,3,6488.5496183206105
5472,Built-up  Area,Kumaraswami Layout,4 BHK,2450.0,3.0,110.0,4,4489.7959183673465
5473,Built-up  Area,Kumaraswami Layout,7 Bedroom,3100.0,7.0,145.0,7,4677.419354838709
5474,Built-up  Area,Kumaraswami Layout,3 Bedroom,1200.0,3.0,75.0,3,6250.0
5475,Super built-up  Area,Kumaraswami Layout,2 BHK,1081.0,2.0,60.0,2,5550.416281221092
5476,Super built-up  Area,Kumbena Agrahara,2 BHK,1180.0,2.0,50.0,2,4237.28813559322
5477,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
5478,Built-up  Area,Kundalahalli,2 BHK,1030.0,2.0,49.0,2,4757.281553398058
5479,Super built-up  Area,Kundalahalli,2 BHK,735.0,2.0,57.99,2,7889.7959183673465
5480,Built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,82.0,2,7831.900668576886
5481,Super built-up  Area,Kundalahalli,3 BHK,1397.0,3.0,105.0,3,7516.1059413027915
5482,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,127.0,3,7366.589327146172
5483,Super built-up  Area,Kundalahalli,2 BHK,1010.0,2.0,49.27,2,4878.217821782178
5484,Super built-up  Area,Kundalahalli,3 BHK,1397.0,3.0,110.0,3,7874.0157480314965
5485,Super built-up  Area,Kundalahalli,3 BHK,1397.0,3.0,104.0,3,7444.523979957051
5486,Super built-up  Area,Kundalahalli,3 BHK,1397.0,3.0,108.0,3,7730.851825340014
5487,Super built-up  Area,Kundalahalli,3 BHK,1920.0,3.0,150.0,3,7812.5
5488,Super built-up  Area,Kundalahalli,3 BHK,1397.0,3.0,105.0,3,7516.1059413027915
5490,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,124.0,3,7192.5754060324825
5491,Super built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,84.0,2,8022.9226361031515
5492,Super built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,83.0,2,7927.411652340019
5493,Plot  Area,Kundalahalli,4 Bedroom,7000.0,4.0,550.0,4,7857.142857142857
5495,Super built-up  Area,Kundalahalli,2 BHK,1120.0,2.0,53.76,2,4800.0
5496,Super built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,82.62,2,7891.117478510028
5497,Super built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,91.0,2,8691.499522445081
5498,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,146.0,3,8468.677494199535
5499,Plot  Area,Kundalahalli,3 Bedroom,1600.0,3.0,170.0,3,10625.0
5501,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
5502,Super built-up  Area,Kundalahalli,2 BHK,1010.0,2.0,48.27,2,4779.207920792079
5503,Super built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,89.0,2,8500.477554918816
5504,Plot  Area,Kundalahalli,4 Bedroom,2500.0,5.0,245.0,4,9800.0
5505,Super built-up  Area,Kundalahalli,3 BHK,1397.0,3.0,105.0,3,7516.1059413027915
5507,Super built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,72.0,2,6876.790830945559
5508,Built-up  Area,Kundalahalli,2 BHK,1260.0,2.0,58.0,2,4603.174603174603
5509,Built-up  Area,Kundalahalli,4 Bedroom,3092.0,4.0,230.0,4,7438.551099611902
5510,Built-up  Area,Kundalahalli,2 BHK,1065.0,2.0,70.0,2,6572.769953051643
5511,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,146.0,3,8468.677494199535
5512,Super built-up  Area,Kundalahalli,2 BHK,1047.0,2.0,91.0,2,8691.499522445081
5513,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,128.0,3,7424.593967517401
5514,Super built-up  Area,Kundalahalli,2 BHK,1315.0,2.0,74.0,2,5627.376425855513
5515,Built-up  Area,Kundalahalli,3 Bedroom,2100.0,3.0,150.0,3,7142.857142857143
5516,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
5517,Super built-up  Area,Kundalahalli,3 BHK,1724.0,3.0,140.0,3,8120.649651972158
5518,Super built-up  Area,Kundalahalli,2 BHK,1175.0,2.0,65.0,2,5531.914893617021
5519,Built-up  Area,Kundalahalli Colony,2 Bedroom,1280.0,2.0,69.0,2,5390.625
5520,Super built-up  Area,Kundalahalli Colony,2 BHK,1505.0,2.0,90.0,2,5980.066445182724
5521,Super built-up  Area,Kundalahalli Colony,3 BHK,2600.0,3.0,140.0,3,5384.615384615385
5522,Super built-up  Area,Kundalahalli Colony,3 BHK,1800.0,3.0,95.0,3,5277.777777777777
5523,Plot  Area,Kurubarahalli,3 Bedroom,1200.0,3.0,70.0,3,5833.333333333333
5524,Built-up  Area,Kurubarahalli,1 Bedroom,1200.0,1.0,69.0,1,5750.0
5525,Super built-up  Area,Kuvempu Nagar,1 BHK,450.0,1.0,25.0,1,5555.555555555556
5527,Carpet  Area,LB Shastri Nagar,2 BHK,1043.0,2.0,55.0,2,5273.250239693192
5528,Built-up  Area,LB Shastri Nagar,2 BHK,1184.0,2.0,69.0,2,5827.7027027027025
5529,Super built-up  Area,LB Shastri Nagar,1 BHK,665.0,1.0,32.0,1,4812.0300751879695
5530,Super built-up  Area,LB Shastri Nagar,2 BHK,1250.0,2.0,48.5,2,3880.0
5531,Super built-up  Area,LB Shastri Nagar,3 BHK,1400.0,2.0,80.0,3,5714.285714285715
5532,Super built-up  Area,LB Shastri Nagar,2 BHK,1184.0,2.0,62.0,2,5236.486486486487
5533,Super built-up  Area,LB Shastri Nagar,2 BHK,1200.0,2.0,47.0,2,3916.6666666666665
5534,Built-up  Area,LB Shastri Nagar,2 BHK,1200.0,2.0,75.0,2,6250.0
5535,Super built-up  Area,LB Shastri Nagar,2 BHK,1000.0,2.0,49.5,2,4950.0
5536,Plot  Area,Laggere,5 Bedroom,2800.0,5.0,125.0,5,4464.285714285715
5537,Plot  Area,Laggere,3 Bedroom,1200.0,3.0,130.0,3,10833.333333333334
5538,Plot  Area,Laggere,1 Bedroom,1200.0,1.0,125.0,1,10416.666666666666
5539,Plot  Area,Laggere,2 Bedroom,1200.0,2.0,75.0,2,6250.0
5540,Built-up  Area,Laggere,1 Bedroom,620.0,2.0,48.0,1,7741.935483870968
5541,Super built-up  Area,Lake City,2 BHK,750.0,2.0,28.0,2,3733.3333333333335
5542,Super built-up  Area,Lake City,2 BHK,780.0,2.0,31.0,2,3974.358974358974
5543,Super built-up  Area,Lake City,1 BHK,600.0,1.0,22.8,1,3800.0
5544,Super built-up  Area,Lakshmiamma Garden,3 BHK,1800.0,3.0,120.0,3,6666.666666666667
5545,Super built-up  Area,Lakshmiamma Garden,3 BHK,3000.0,3.0,265.0,3,8833.333333333334
5546,Super built-up  Area,Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329.113924050633
5547,Super built-up  Area,Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,6750.0
5548,Built-up  Area,Lakshminarayana Pura,2 BHK,1180.0,2.0,75.0,2,6355.932203389831
5549,Super built-up  Area,Lakshminarayana Pura,2 BHK,1172.0,2.0,82.0,2,6996.587030716723
5550,Built-up  Area,Lakshminarayana Pura,2 BHK,1179.0,2.0,75.0,2,6361.323155216285
5551,Super built-up  Area,Lakshminarayana Pura,2 BHK,1149.0,2.0,75.0,2,6527.415143603133
5552,Super built-up  Area,Lakshminarayana Pura,2 BHK,1336.0,2.0,100.0,2,7485.029940119761
5553,Super built-up  Area,Lakshminarayana Pura,2 BHK,1175.0,2.0,75.0,2,6382.978723404255
5554,Super built-up  Area,Lakshminarayana Pura,2 BHK,1190.0,2.0,75.0,2,6302.5210084033615
5555,Super built-up  Area,Lakshminarayana Pura,2 BHK,1200.0,2.0,75.0,2,6250.0
5556,Super built-up  Area,Lakshminarayana Pura,2 BHK,1200.0,2.0,75.0,2,6250.0
5557,Built-up  Area,Lakshminarayana Pura,2 BHK,1165.0,2.0,75.0,2,6437.768240343347
5558,Super built-up  Area,Lakshminarayana Pura,2 BHK,1145.0,2.0,75.0,2,6550.218340611354
5559,Super built-up  Area,Lakshminarayana Pura,3 BHK,1500.0,3.0,104.0,3,6933.333333333333
5560,Super built-up  Area,Lakshminarayana Pura,2 BHK,1210.0,2.0,75.0,2,6198.347107438017
5561,Built-up  Area,Lakshminarayana Pura,2 BHK,1169.0,2.0,75.0,2,6415.739948674081
5562,Built-up  Area,Lakshminarayana Pura,2 BHK,1200.0,2.0,75.0,2,6250.0
5563,Built-up  Area,Lakshminarayana Pura,2 BHK,1172.0,2.0,75.0,2,6399.317406143345
5564,Super built-up  Area,Lakshminarayana Pura,2 BHK,1172.0,2.0,75.0,2,6399.317406143345
5565,Super built-up  Area,Lakshminarayana Pura,2 BHK,1180.0,2.0,75.0,2,6355.932203389831
5566,Super built-up  Area,Lakshminarayana Pura,2 BHK,1200.0,2.0,83.0,2,6916.666666666667
5567,Super built-up  Area,Lakshminarayana Pura,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
5568,Built-up  Area,Lakshminarayana Pura,2 BHK,1195.0,2.0,75.0,2,6276.150627615063
5569,Built-up  Area,Lakshminarayana Pura,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
5570,Plot  Area,Lakshmipura,2 Bedroom,1200.0,2.0,75.0,2,6250.0
5571,Plot  Area,Lal Bahadur Shastri Nagar,3 Bedroom,2400.0,2.0,185.0,3,7708.333333333333
5572,Super built-up  Area,Langford Town,2 BHK,1355.0,2.0,115.0,2,8487.084870848708
5573,Super built-up  Area,Lavakusha Nagar,3 BHK,1431.0,3.0,65.0,3,4542.278127183788
5574,Super built-up  Area,Lavakusha Nagar,3 BHK,1535.0,3.0,72.0,3,4690.553745928339
5575,Super built-up  Area,Lavelle Road,2 BHK,1000.0,2.0,150.0,2,15000.0
5576,Super built-up  Area,Lavelle Road,2 BHK,985.0,2.0,156.0,2,15837.56345177665
5577,Super built-up  Area,Lavelle Road,3 BHK,1919.0,3.0,300.0,3,15633.142261594581
5578,Super built-up  Area,Laxmi Sagar Layout,3 BHK,1614.0,3.0,110.0,3,6815.365551425031
5579,Super built-up  Area,Laxmi Sagar Layout,2 BHK,1140.0,2.0,76.0,2,6666.666666666667
5580,Plot  Area,Laxmi Sagar Layout,3 Bedroom,3100.0,3.0,250.0,3,8064.5161290322585
5581,Super built-up  Area,Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245.890861275477
5582,Super built-up  Area,Lingadheeranahalli,3 BHK,1511.0,3.0,95.0,3,6287.22700198544
5583,Super built-up  Area,Lingadheeranahalli,3 BHK,1683.0,3.0,109.0,3,6476.5300059417705
5584,Super built-up  Area,Lingadheeranahalli,3 BHK,1519.0,3.0,93.0,3,6122.448979591837
5585,Super built-up  Area,Lingadheeranahalli,3 BHK,1521.0,3.0,94.99,3,6245.233399079553
5586,Super built-up  Area,Lingadheeranahalli,3 BHK,1682.0,3.0,120.0,3,7134.36385255648
5587,Super built-up  Area,Lingadheeranahalli,3 BHK,1521.0,3.0,94.71,3,6226.824457593689
5588,Super built-up  Area,Lingadheeranahalli,3 BHK,1893.0,3.0,130.0,3,6867.406233491812
5589,Super built-up  Area,Lingadheeranahalli,3 BHK,1705.0,3.0,110.0,3,6451.612903225807
5590,Super built-up  Area,Lingadheeranahalli,4 BHK,2245.0,4.0,154.0,4,6859.688195991092
5591,Super built-up  Area,Lingadheeranahalli,3 BHK,1682.0,3.0,113.0,3,6718.192627824019
5592,Super built-up  Area,Lingadheeranahalli,3 BHK,1682.0,3.0,114.0,3,6777.645659928657
5593,Super built-up  Area,Lingadheeranahalli,3 BHK,1506.0,3.0,95.0,3,6308.100929614874
5594,Super built-up  Area,Lingadheeranahalli,3 BHK,1683.0,3.0,110.0,3,6535.9477124183
5595,Super built-up  Area,Lingadheeranahalli,3 BHK,1684.0,3.0,120.0,3,7125.890736342043
5596,Super built-up  Area,Lingadheeranahalli,4 BHK,2236.0,4.0,153.0,4,6842.57602862254
5597,Super built-up  Area,Lingadheeranahalli,3 BHK,1894.0,4.0,114.0,3,6019.007391763464
5598,Super built-up  Area,Lingadheeranahalli,4 BHK,2240.0,4.0,160.0,4,7142.857142857143
5599,Plot  Area,Lingarajapuram,2 Bedroom,1350.0,2.0,80.0,2,5925.925925925926
5600,Carpet  Area,Lingarajapuram,2 BHK,1203.0,2.0,59.86,2,4975.893599334996
5601,Super built-up  Area,Lingarajapuram,2 BHK,800.0,2.0,55.0,2,6875.0
5602,Super built-up  Area,Lingarajapuram,2 BHK,1035.0,2.0,55.0,2,5314.009661835748
5603,Super built-up  Area,Lottegolla Halli,3 BHK,1950.0,3.0,90.0,3,4615.384615384615
5604,Super built-up  Area,Lottegolla Halli,2 BHK,1250.0,2.0,55.0,2,4400.0
5605,Super built-up  Area,MCECHS  layout,3 BHK,1500.0,2.0,65.0,3,4333.333333333333
5606,Super built-up  Area,MCECHS  layout,3 BHK,1500.0,3.0,65.0,3,4333.333333333333
5607,Super built-up  Area,MLA Layout,2 BHK,970.0,2.0,40.0,2,4123.711340206186
5608,Built-up  Area,MS Pallya,3 Bedroom,1783.0,3.0,115.0,3,6449.8037016264725
5609,Super built-up  Area,MS Pallya,3 BHK,1200.0,3.0,90.0,3,7500.0
5610,Plot  Area,MS Pallya,3 Bedroom,1100.0,3.0,78.0,3,7090.909090909091
5611,Built-up  Area,MS Pallya,5 Bedroom,3600.0,5.0,110.0,5,3055.5555555555557
5612,Plot  Area,MS Pallya,5 Bedroom,1800.0,4.0,68.0,5,3777.777777777778
5613,Super built-up  Area,MS Pallya,4 BHK,2400.0,4.0,88.0,4,3666.6666666666665
5614,Super built-up  Area,Madiwala,3 BHK,1250.0,3.0,39.0,3,3120.0
5615,Super built-up  Area,Madiwala,3 BHK,1250.0,3.0,43.0,3,3440.0
5616,Super built-up  Area,Madiwala,3 BHK,1250.0,3.0,39.5,3,3160.0
5617,Super built-up  Area,Madiwala,2 BHK,1165.0,2.0,45.0,2,3862.6609442060085
5618,Built-up  Area,Magadi Road,6 Bedroom,3600.0,6.0,141.0,6,3916.6666666666665
5619,Super built-up  Area,Magadi Road,2 BHK,1116.0,2.0,50.0,2,4480.286738351255
5621,Super built-up  Area,Magadi Road,2 BHK,884.0,2.0,41.1,2,4649.321266968326
5622,Super built-up  Area,Magadi Road,2 BHK,1005.0,2.0,55.78,2,5550.248756218905
5623,Super built-up  Area,Magadi Road,2 BHK,1000.0,2.0,46.5,2,4650.0
5624,Plot  Area,Magadi Road,4 Bedroom,1500.0,2.0,93.0,4,6200.0
5626,Built-up  Area,Magadi Road,2 BHK,1345.0,2.0,55.0,2,4089.2193308550186
5628,Plot  Area,Magadi Road,5 Bedroom,5000.0,6.0,360.0,5,7200.0
5629,Super built-up  Area,Magadi Road,2 BHK,1116.0,2.0,51.89,2,4649.641577060932
5630,Super built-up  Area,Magadi Road,3 BHK,1052.0,2.0,60.0,3,5703.42205323194
5631,Super built-up  Area,Magadi Road,2 BHK,940.0,2.0,50.0,2,5319.148936170212
5632,Super built-up  Area,Magadi Road,3 BHK,1318.0,2.0,68.0,3,5159.332321699545
5634,Super built-up  Area,Magadi Road,2 BHK,884.0,2.0,48.0,2,5429.864253393665
5636,Super built-up  Area,Mahadevpura,2 BHK,1150.0,2.0,52.0,2,4521.739130434783
5637,Super built-up  Area,Mahadevpura,2 BHK,1250.0,2.0,52.0,2,4160.0
5638,Super built-up  Area,Mahadevpura,2 BHK,1260.0,2.0,57.6,2,4571.428571428572
5639,Super built-up  Area,Mahadevpura,1 BHK,730.0,1.0,35.0,1,4794.520547945205
5640,Super built-up  Area,Mahadevpura,3 BHK,1434.0,2.0,67.39,3,4699.442119944212
5641,Super built-up  Area,Mahadevpura,2 BHK,1146.0,2.0,53.8,2,4694.5898778359515
5642,Super built-up  Area,Mahadevpura,2 BHK,1532.0,2.0,62.0,2,4046.9973890339425
5643,Super built-up  Area,Mahadevpura,3 BHK,1620.0,2.0,76.0,3,4691.358024691358
5644,Super built-up  Area,Mahadevpura,2 BHK,1136.0,2.0,64.5,2,5677.816901408451
5645,Super built-up  Area,Mahadevpura,3 BHK,1400.0,2.0,65.8,3,4700.0
5646,Super built-up  Area,Mahadevpura,2 BHK,1137.0,2.0,53.4,2,4696.5699208443275
5647,Super built-up  Area,Mahadevpura,3 BHK,1601.0,3.0,95.0,3,5933.791380387258
5648,Super built-up  Area,Mahadevpura,3 BHK,1450.0,3.0,75.0,3,5172.413793103448
5649,Super built-up  Area,Mahadevpura,2 BHK,1152.0,2.0,54.0,2,4687.5
5650,Super built-up  Area,Mahadevpura,2 BHK,1212.0,2.0,56.9,2,4694.7194719471945
5652,Super built-up  Area,Mahadevpura,3 BHK,1505.0,3.0,78.0,3,5182.724252491695
5653,Super built-up  Area,Mahadevpura,3 BHK,1500.0,2.0,70.0,3,4666.666666666667
5654,Super built-up  Area,Mahadevpura,2 BHK,1236.0,2.0,58.0,2,4692.556634304207
5655,Super built-up  Area,Mahadevpura,2 BHK,1236.0,2.0,58.0,2,4692.556634304207
5656,Super built-up  Area,Mahadevpura,2 BHK,1120.0,2.0,53.0,2,4732.142857142857
5657,Super built-up  Area,Mahaganapathy Nagar,2 BHK,1410.0,2.0,73.0,2,5177.304964539007
5658,Plot  Area,Mahalakshmi Layout,4 Bedroom,1575.0,5.0,158.0,4,10031.746031746032
5659,Super built-up  Area,Mahalakshmi Layout,2 BHK,1105.0,2.0,80.0,2,7239.819004524887
5660,Plot  Area,Mahalakshmi Layout,4 Bedroom,1200.0,3.0,160.0,4,13333.333333333334
5661,Super built-up  Area,Mahalakshmi Layout,3 BHK,1200.0,2.0,110.0,3,9166.666666666666
5662,Super built-up  Area,Mahalakshmi Layout,3 BHK,1876.0,3.0,150.0,3,7995.735607675906
5663,Plot  Area,Mahalakshmi Puram,6 Bedroom,2400.0,6.0,408.0,6,17000.0
5664,Plot  Area,Mahalakshmi Puram,4 Bedroom,1500.0,5.0,233.0,4,15533.333333333334
5665,Built-up  Area,Mahalakshmi Puram,6 Bedroom,3000.0,6.0,300.0,6,10000.0
5666,Plot  Area,Mahalakshmi Puram,5 Bedroom,1550.0,3.0,250.0,5,16129.032258064517
5667,Super built-up  Area,Maithri Layout,2 BHK,1134.0,2.0,40.0,2,3527.336860670194
5668,Super built-up  Area,Maithri Layout,3 BHK,1685.0,3.0,60.0,3,3560.8308605341244
5669,Super built-up  Area,Maithri Layout,3 BHK,1567.0,2.0,62.0,3,3956.6049776643267
5670,Super built-up  Area,Makali,1 BHK,485.0,1.0,15.0,1,3092.783505154639
5671,Super built-up  Area,Makali,1 BHK,500.0,1.0,15.0,1,3000.0
5672,Super built-up  Area,Mallasandra,3 BHK,1665.0,3.0,95.0,3,5705.705705705705
5673,Super built-up  Area,Mallasandra,3 BHK,1665.0,3.0,86.58,3,5200.0
5674,Super built-up  Area,Mallasandra,2 BHK,1340.0,2.0,61.0,2,4552.238805970149
5675,Super built-up  Area,Mallasandra,2 BHK,1325.0,2.0,70.0,2,5283.018867924528
5676,Super built-up  Area,Mallasandra,3 BHK,1665.0,3.0,86.91,3,5219.81981981982
5677,Super built-up  Area,Mallasandra,2 BHK,1325.0,2.0,70.0,2,5283.018867924528
5678,Super built-up  Area,Mallasandra,2 BHK,905.0,2.0,40.0,2,4419.889502762431
5679,Super built-up  Area,Mallasandra,2 BHK,1325.0,2.0,65.0,2,4905.66037735849
5680,Built-up  Area,Mallasandra,2 BHK,1325.0,2.0,73.0,2,5509.433962264151
5681,Super built-up  Area,Mallasandra,2 BHK,1565.0,2.0,69.0,2,4408.945686900958
5682,Super built-up  Area,Mallasandra,2 BHK,905.0,2.0,35.0,2,3867.403314917127
5684,Built-up  Area,Mallasandra,3 BHK,1100.0,2.0,76.3,3,6936.363636363636
5685,Built-up  Area,Mallathahalli,3 BHK,1225.0,3.0,60.0,3,4897.959183673469
5686,Super built-up  Area,Mallathahalli,2 BHK,1100.0,2.0,64.08,2,5825.454545454545
5687,Super built-up  Area,Malleshpalya,2 BHK,1140.0,2.0,46.5,2,4078.9473684210525
5688,Super built-up  Area,Malleshpalya,2 BHK,1225.0,2.0,46.86,2,3825.3061224489797
5690,Super built-up  Area,Malleshpalya,2 BHK,1052.0,2.0,50.0,2,4752.851711026616
5691,Built-up  Area,Malleshpalya,3 BHK,1405.0,2.0,77.0,3,5480.427046263345
5692,Super built-up  Area,Malleshpalya,2 BHK,1065.0,2.0,50.0,2,4694.835680751174
5693,Super built-up  Area,Malleshpalya,2 BHK,1210.0,2.0,55.0,2,4545.454545454545
5695,Super built-up  Area,Malleshpalya,2 BHK,1060.0,2.0,40.0,2,3773.5849056603774
5696,Super built-up  Area,Malleshpalya,3 BHK,1430.0,2.0,69.5,3,4860.1398601398605
5697,Built-up  Area,Malleshpalya,2 BHK,1421.0,2.0,90.0,2,6333.56790992259
5698,Super built-up  Area,Malleshpalya,2 BHK,1245.0,2.0,55.0,2,4417.6706827309235
5699,Super built-up  Area,Malleshpalya,2 BHK,1200.0,2.0,46.0,2,3833.3333333333335
5700,Super built-up  Area,Malleshpalya,2 BHK,1225.0,2.0,52.0,2,4244.897959183673
5701,Super built-up  Area,Malleshwaram,1 BHK,705.0,1.0,67.0,1,9503.54609929078
5702,Super built-up  Area,Malleshwaram,7 BHK,12000.0,7.0,2200.0,7,18333.333333333332
5703,Built-up  Area,Malleshwaram,4 BHK,2500.0,5.0,325.0,4,13000.0
5704,Built-up  Area,Malleshwaram,3 BHK,2006.0,3.0,297.0,3,14805.583250249252
5705,Super built-up  Area,Malleshwaram,1 BHK,686.0,1.0,62.5,1,9110.787172011662
5706,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,332.0,3,13414.141414141413
5707,Super built-up  Area,Malleshwaram,3 BHK,2610.0,3.0,399.0,3,15287.356321839081
5708,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,320.0,3,12929.29292929293
5709,Super built-up  Area,Malleshwaram,2 BHK,900.0,2.0,95.0,2,10555.555555555555
5710,Super built-up  Area,Malleshwaram,2 BHK,1420.0,2.0,158.0,2,11126.760563380281
5711,Built-up  Area,Malleshwaram,3 BHK,2000.0,3.0,250.0,3,12500.0
5712,Super built-up  Area,Malleshwaram,3 BHK,2215.0,3.0,275.0,3,12415.349887133183
5714,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,300.0,3,12121.212121212122
5716,Super built-up  Area,Malleshwaram,3 BHK,2215.0,4.0,310.0,3,13995.48532731377
5717,Super built-up  Area,Malleshwaram,1 BHK,480.0,1.0,60.0,1,12500.0
5718,Super built-up  Area,Malleshwaram,2 BHK,1290.0,2.0,120.0,2,9302.32558139535
5719,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,326.0,3,13171.717171717171
5720,Super built-up  Area,Malleshwaram,3 BHK,2476.0,3.0,337.0,3,13610.662358642972
5721,Built-up  Area,Malleshwaram,2 BHK,900.0,2.0,90.0,2,10000.0
5723,Super built-up  Area,Malleshwaram,3 BHK,2050.0,4.0,270.0,3,13170.731707317073
5724,Built-up  Area,Malleshwaram,2 BHK,900.0,2.0,72.0,2,8000.0
5725,Super built-up  Area,Malleshwaram,1 BHK,620.0,1.0,86.8,1,14000.0
5726,Built-up  Area,Malleshwaram,2 Bedroom,600.0,1.0,68.0,2,11333.333333333334
5727,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,337.0,3,13616.161616161617
5728,Super built-up  Area,Malleshwaram,3 BHK,2215.0,3.0,275.0,3,12415.349887133183
5729,Super built-up  Area,Malleshwaram,3 BHK,2215.0,3.0,330.0,3,14898.419864559819
5731,Super built-up  Area,Malleshwaram,2 BHK,1020.0,2.0,80.0,2,7843.137254901961
5732,Plot  Area,Malleshwaram,2 Bedroom,600.0,1.0,90.0,2,15000.0
5733,Built-up  Area,Malleshwaram,3 BHK,2200.0,3.0,275.0,3,12500.0
5734,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,326.0,3,13171.717171717171
5735,Super built-up  Area,Malleshwaram,2 BHK,1500.0,2.0,140.0,2,9333.333333333334
5736,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,340.0,3,13737.373737373737
5737,Super built-up  Area,Malleshwaram,2 BHK,1400.0,2.0,190.0,2,13571.42857142857
5738,Super built-up  Area,Malleshwaram,3 BHK,2475.0,4.0,300.0,3,12121.212121212122
5739,Super built-up  Area,Malleshwaram,3 BHK,2400.0,3.0,380.0,3,15833.333333333334
5740,Built-up  Area,Malleshwaram,1 BHK,580.0,1.0,45.0,1,7758.620689655172
5741,Super built-up  Area,Malleshwaram,2 BHK,1410.0,2.0,125.0,2,8865.248226950354
